INPUT	FOUND_BY	DTXSID	PREFERRED_NAME	SMILES	QSAR_READY_SMILES
3025-30-7	CAS-RN	DTXSID0041357	Ethyl (2E,4Z)-deca-2,4-dienoate	CCCCC\C=C/C=C/C(=O)OCC	CCCCCC=CC=CC(=O)OCC
3027-21-2	CAS-RN	DTXSID4044909	Dimethoxy(methyl)phenylsilane	CO[Si](C)(OC)C1=CC=CC=C1	CO[Si](C)(OC)C1=CC=CC=C1
30286-75-0	CAS-RN	DTXSID0023402	Oxitropium bromide	[Br-].CC[N+]1(C)[C@H]2C[C@@H](C[C@@H]1[C@H]1O[C@@H]21)OC(=O)[C@H](CO)C1=CC=CC=C1	[H]C12CC(CC([H])(C3OC13)[N+]2(C)CC)OC(=O)C(CO)C1=CC=CC=C1
302964-08-5	CAS-RN	DTXSID20460723	N-(2-Chloro-6-methylphenyl)-2-[(6-chloro-2-methylpyrimidin-4-yl)amino]-1,3-thiazole-5-carboxamide	CC1=NC(NC2=NC=C(S2)C(=O)NC2=C(C)C=CC=C2Cl)=CC(Cl)=N1	CC1=NC(NC2=NC=C(S2)C(=O)NC2=C(C)C=CC=C2Cl)=CC(Cl)=N1
30299-08-2	CAS-RN	DTXSID6046638	Clinofibrate	CCC(C)(OC1=CC=C(C=C1)C1(CCCCC1)C1=CC=C(OC(C)(CC)C(O)=O)C=C1)C(O)=O	CCC(C)(OC1=CC=C(C=C1)C1(CCCCC1)C1=CC=C(OC(C)(CC)C(O)=O)C=C1)C(O)=O
303-31-1	CAS-RN	DTXSID70184386	beta-Thalidomide	O=C1N(C2CC(=O)NC(=O)C2)C(=O)C2=CC=CC=C12	O=C1N(C2CC(=O)NC(=O)C2)C(=O)C2=CC=CC=C12
303-34-4	CAS-RN	DTXSID1020772	Lasiocarpine	CO[C@@H](C)[C@@](O)(C(=O)OCC1=CCN2CC[C@H](OC(=O)C(\C)=C/C)[C@@H]12)C(C)(C)O	COC(C)C(O)(C(=O)OCC1=CCN2CCC(OC(=O)C(C)=CC)C12)C(C)(C)O
303-45-7	CAS-RN	DTXSID5023110	Gossypol	CC(C)C1=C(O)C(O)=C(C=O)C2=C(O)C(=C(C)C=C12)C1=C(O)C2=C(C=O)C(O)=C(O)C(C(C)C)=C2C=C1C	CC(C)C1=C(O)C(O)=C(C=O)C2=C(O)C(=C(C)C=C12)C1=C(O)C2=C(C=O)C(O)=C(O)C(C(C)C)=C2C=C1C
303-47-9	CAS-RN	DTXSID7021073	Ochratoxin A	C[C@@H]1CC2=C(C(=O)O1)C(O)=C(C=C2Cl)C(=O)N[C@@H](CC1=CC=CC=C1)C(O)=O	CC1CC2=C(Cl)C=C(C(=O)NC(CC3=CC=CC=C3)C(O)=O)C(O)=C2C(=O)O1
303-49-1	CAS-RN	DTXSID6022844	Clomipramine	CN(C)CCCN1C2=CC=CC=C2CCC2=CC=C(Cl)C=C12	CN(C)CCCN1C2=CC=CC=C2CCC2=CC=C(Cl)C=C12
303-70-8	CAS-RN	DTXSID60184390	2-Hydroxyimipramine	CN(C)CCCN1C2=CC=CC=C2CCC2=C1C=CC(O)=C2	CN(C)CCCN1C2=CC=CC=C2CCC2=C1C=CC(O)=C2
303-97-9	NO_MATCH	-	-	-	-
3032-55-1	CAS-RN	DTXSID7051979	Trimethylolethane trinitrate	CC(CO[N+]([O-])=O)(CO[N+]([O-])=O)CO[N+]([O-])=O	CC(CO[N+]([O-])=O)(CO[N+]([O-])=O)CO[N+]([O-])=O
3033-62-3	CAS-RN	DTXSID5027512	Bis[2-(dimethylamino)ethyl]ether	CN(C)CCOCCN(C)C	CN(C)CCOCCN(C)C
3034-38-6	CAS-RN	DTXSID9062803	4-Nitroimidazole	[O-][N+](=O)C1=CNC=N1	[O-][N+](=O)C1=CNC=N1
3035-45-8	CAS-RN	DTXSID80184433	s-Triazine, 2-isopropylamino-4-methoxy-6-methylamino-	CNC1=NC(NC(C)C)=NC(OC)=N1	CNC1=NC(NC(C)C)=NC(OC)=N1
